REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
4404,51.460.582/0001-20,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,CINEMAS ALVORADA DIVERSÕES LTDA,02.104.789/0001-56
22627,15.776.522/0001-57,BRASIL CHANNELS SERVIÇOS AUDIOVISUAIS LTDA.,TOPSPORTS VENTURES LTDA.,03.390.444/0001-79
5678,07.408.191/0001-74,DISCOVERY NETWORKS BRASIL AGENCIAMENTO E REPRESENTAÇÃO LTDA,TOPSPORTS VENTURES LTDA.,03.390.444/0001-79
47076,38.560.433/0001-74,"BALDE DE TINTA FILMES, PRODUCAO AUDIOVISUAL LTDA",MARCIO PICOLI 01738523004,29.437.956/0001-37
47830,38.410.834/0001-48,MOBI CINE GURUPI LTDA,LEMOS & SILVA LTDA - ME,15.659.276/0001-53
34841,00.977.351/0001-57,JONASCE LTDA.- ME,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,11.571.077/0001-38
19845,13.067.326/0001-88,JOSUÉ´S CINE SAMONTE LTDA.,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,11.571.077/0001-38
46087,36.187.298/0001-38,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,11.571.077/0001-38
40946,31.291.787/0001-11,RODAMOINHO FILMES LTDA,RODAMOINHO RECORDS LTDA.,40.376.932/0001-58
14649,06.296.389/0001-40,MAIOMIDIA COMUNICACAO LTDA,LUZ MAGICA PRODUCOES AUDIOVISUAIS EIRELI,73.586.513/0001-08
21500,13.550.996/0001-50,PAMKA MOTION COMUNICAÇÃO INTEGRADA LTDA - ME,JOSÉ DE RIBAMAR SOARES,28.639.156/0001-36
33770,24.971.903/0001-88,TUBARÃO FILMES LTDA,FLORIPA FILMES LTDA,28.032.122/0001-89
2977,05.297.810/0001-75,JUBARTE FILMES LTDA-ME,FLORIPA FILMES LTDA,28.032.122/0001-89
47904,40.473.692/0001-00,SEIVA PRODUCAO DE FILMES LTDA,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,14.716.352/0001-52
48333,40.001.435/0001-75,LADYBIRD PRODUCAO DE FILMES LTDA.,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,14.716.352/0001-52
25423,06.113.891/0001-79,SCRIPT @ FILMES PRODUCOES ARTISTICAS S/S LTDA - ME,HANMAUM S. PRODUÇÕES DISTRIBUIÇÃO E DISTRIBUIÇÃO LTDA,32.378.170/0001-09
51,94.100.302/0001-85,ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.,ZEPP FILMES LTDA,35.339.160/0001-44
42562,33.042.782/0001-80,SANTANA E ALMEIDA LTDA,CINE XTREME PAULO AFONSO LTDA,43.574.222/0001-20
5028,07.581.953/0001-30,BASE DIGITAL VÍDEO E COMUNICAÇÃO LTDA,ROBERTA MEYER MIRANDA DA VEIGA 81226780920,28.725.154/0001-60
4471,67.942.250/0001-11,MOONSHOT CREATIVE LAB PRODUÇÕES ARTÍSTICAS LTDA.,WRITE PRODUÇÕES ARTÍSTICAS LTDA,07.627.467/0001-05
38163,27.380.966/0001-58,CINE COMERCIAL PASSO FUNDO LTDA,CINEMA ARTEPLEX LTDA.,04.969.463/0001-17
1083,01.425.583/0001-65,CIRCUITO CINEARTE LTDA,CINEMA ARTEPLEX LTDA.,04.969.463/0001-17
49988,44.084.629/0001-32,CINEMATOGRÁFICA OURO BRANCO LTDA,CINEMATOGRÁFICA CATAGUASES LTDA EPP,21.257.121/0001-93
2068,31.089.162/0001-71,SALA PRODUÇÕES ARTÍSTICAS LTDA,SALA COMUNICAÇÃO LTDA-ME,04.937.510/0001-40
52870,39.314.110/0001-63,MPB RECORDS E PRODUÇÕES ARTÍSTICAS LTDA,2.2 PRODUÇÕES ARTÍSTICAS E ENTRETENIMENTO LTDA,38.409.721/0001-22
17686,11.698.605/0001-14,GAIA TRANSMIDIA LTDA,PULSAR PRODUCOES ARTISTICAS E CULTURAIS - EIRELI,56.839.830/0001-61
38205,20.877.608/0001-06,BABEL AZZA AGENCIA DE PUBLICIDADE LTDA,BABEL PUBLICIDADE LTDA,09.144.180/0001-50
20678,11.364.594/0001-36,JMS PRODUCOES LTDA - ME,JUR PRODUCOES LTDA - ME,17.482.363/0001-03
444,01.918.811/0001-39,FILME B COMUNICAÇÕES S.A,EDITORA FILME B LTDA,02.847.917/0001-51
2735,05.774.116/0001-00,CINEARTE MORUMBI LTDA,"MOSTRA DE CINEMA, CULTURA E EVENTOS LTDA",18.167.238/0001-71
27027,13.079.333/0001-08,ALUMIA PRODUÇÕES LTDA-ME,MUSIC2 PUBLICIDADE DIGITAL LTDA,16.595.954/0001-24
44837,35.441.232/0001-60,REDECINE SANTOS CINEMATOGRAFICA LTDA,REDECINE TOTAL CINEMATOGRÁFICA LTDA,06.034.577/0001-09
16758,07.424.485/0001-90,BLOOD CINEMATOGRAFICA ­ EIRELI ­ ME,CAPITANO ENTRETENIMENTO E PRODUCOES LTDA,41.856.050/0001-52
16638,11.003.648/0001-38,T T F TEIXEIRA DA SILVA PUBLICIDADE ME,HYPE PRODUTORA DE VIDEOS LTDA,24.092.238/0001-52
5654,07.665.262/0001-14,REDECINE-CPQ CINEMATOGRÁFICA LTDA,REDECINE LONDRINA CINEMATOGRAFICA LTDA,21.923.650/0001-89
31741,23.669.825/0001-07,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,REDECINE LONDRINA CINEMATOGRAFICA LTDA,21.923.650/0001-89
35552,26.509.347/0001-58,CANOA PRODUÇÕES AUDIOVISUAIS LTDA. - EPP,GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI,40.737.325/0001-76
37635,08.255.651/0001-34,SESSÃO PREMIERE MÍDIA E COMUNICAÇÃO LTDA.,GINGA COMUNICAÇÃO LTDA,06.196.111/0001-00
1803,50.814.201/0001-09,WGV PRODUÇÕES ARTÍSTICAS LTDA.,PAIEIROS PRODUCOES CULTURAIS UNIPESSOAL LTDA,45.597.282/0001-94
13680,07.533.507/0001-50,BE BOSSA NOVA CRIACOES E PRODUCOES S/A,BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A,07.477.471/0001-34
14574,10.378.423/0001-01,RED TERRA STUDIOS LTDA,GENTE URBANA PRODUÇÕES CINEMATOGRÁFICAS LTDA,43.728.695/0001-35
46,34.012.898/0001-30,JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA,RADAR CINEMA E TELEVISÃO LTDA,02.947.857/0001-49
46727,36.609.260/0001-06,AZ MINA PRODUCAO DE FILMES LTDA,COLORBAR FILMES LTDA.,34.998.063/0001-09
15023,07.331.539/0001-72,LIDER - PRODUÇÕES E EVENTOS LTDA,MARLETE CELLA,11.758.978/0001-33
42877,32.909.201/0001-00,PAULO A. CARDOSO,UAU FILMES LTDA,01.354.178/0001-01
53,04.661.796/0001-84,GIROS PROJETOS AUDIOVISUAIS LTDA,GIROS HOLDING LTDA.,39.701.760/0001-61
14705,06.814.372/0001-38,ARTE PRODUÇÃO E ADMINISTRAÇÃO DE EMPREENDIMENTOS CULTURAIS LTDA,CASA JABUTICABA DE CINEMA E TEATRO LTDA,03.039.811/0001-94
23431,17.552.763/0001-48,ESFFERA FILMES PRODUÇÕES EIRELI ME,MENEGATTI PRODUÇÕES LTDA-ME,00.759.034/0001-64
13792,04.947.418/0001-61,BKS DUBLAGENS DO BRASIL LTDA,ANIMA NOVA MIDIA INTERMEDIAÇÃO DE NEGÓCIOS LTDA.,10.785.071/0001-09
42248,31.306.088/0001-06,TAKE UM PRODUÇÃO DE FILMES E EVENTOS LTDA,ESTRATÉGIA DA IMAGEM LTDA - ME,10.217.318/0001-82
22839,17.165.675/0001-93,ALÔ PRODUÇÃO LTDA,M2 COMUNICAÇÃO LTDA,04.196.528/0001-39
16491,09.640.643/0001-74,SALA 12 PRODUÇÕES ARTÍSTICAS LTDA,MARIANA B. YOUSSEF FILMES,08.203.768/0001-74
22774,13.871.039/0001-26,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,J&M PRODUÇÕES ARTISTICAS LTDA.,09.001.792/0001-93
26011,18.893.741/0001-04,RAIZ ESTUDIO COMUNICAÇÃO LTDA ME,DANIELLA LAGO LOPES PRODUÇÕES ME,10.624.399/0001-35
45983,36.505.159/0001-05,EUROCHANNEL BRASIL LICENCIAMENTOS E SERVICOS LTDA,PRIMOS E PRIMOS ADVOCACIA,03.688.753/0001-20
5031,95.805.784/0001-31,UMAISUM CINEVÍDEO LTDA,MARLON NASCIMENTO DE VARGAS ME,36.679.341/0001-82
48976,35.100.094/0001-55,MSB EMPREENDIMENTOS DIGITAIS LTDA,MUEVO STUDIO LTDA,45.133.781/0001-20
14964,09.032.503/0001-13,CASE PUBLICIDADE LTDA - EPP,CASE PRODUÇÃO E PROMOÇÃO CULTURAL EIRELI,19.704.357/0001-89
1874,05.832.663/0001-96,INTRO PICTURES PRODUÇÕES CINEMATOGRÁFICAS LTDA,INTRO PICTURES AUDIOVISUAL LTDA,42.642.939/0001-08
33038,15.071.118/0001-88,LENTE MULTIMIDIA LTDA,TICK PRODUÇÕES E MULTIMIDIA LTDA,09.611.475/0001-99
30680,13.040.127/0001-86,P.NETTO E MEDEIROS LTDA ME,JOÃO JOSE PISTUM NETTO,23.375.424/0001-36
51424,34.107.329/0001-78,GOLPE DE VISTA FILMES EIRELI,HANGAR FILMES LTDA - ME,22.357.342/0001-04
11793,05.032.937/0001-62,IMAGINA PRESTAÇÃO DE SERVIÇOS S/C LTDA-ME,HANGAR FILMES LTDA - ME,22.357.342/0001-04
50909,45.474.328/0001-88,ARTFILMS PRODUCAO AUDIO VISUAL LTDA,FILMART PRODUCAO AUDIO VISUAL EIRELI,21.488.286/0001-76
49408,35.159.769/0001-31,EBS TENORIO PRODUCOES EIRELI,TENORIO PRODUCOES E GESTAO CULTURAL LTDA - ME,17.691.378/0001-81
38508,23.522.087/0001-62,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,"HOMEM AMARELO PRODUCOES ARTISTICAS, CULTURAIS, CINEMATOGRAFICAS E EDITORIAIS LTDA",12.131.701/0001-49
3781,04.024.941/0001-16,FBK COMUNICACAO DIGITAL LTDA,FABRIKA FILMES EIRELI ­ ME,07.805.432/0001-19
15543,10.552.344/0001-67,US ONE COMERCIO E SERVICOS DE CRIACAO E PRODUCAO DE OBRAS COM DIRETOS AUTORAIS LTDA.,CAMISA TREZE CULTURAL LTDA,05.387.293/0001-25
21148,13.737.984/0001-30,BLACKBIRD PRODUÇÕES FILMES E VIDEO LTDA.,STUDIO BLACK PRODUÇÕES ARTISTICAS E CINEMATOGRAFICAS EIRELI,32.968.726/0001-09
17628,08.913.231/0001-06,C.A.V. LEMOS,C A V LEMOS E CIA LTDA - ME,14.717.191/0001-11
17667,08.457.432/0001-38,INTERVALO PRODUTORA DE VIDEOS LTDA ME,TV BABITONGA LTDA,04.181.262/0001-50
50261,26.492.162/0001-88,M&L PRODUÇÕES ARTÍSTICAS LTDA,C & C PRODUCOES E SHOWS LTDA,08.907.300/0001-60
26780,19.858.064/0001-56,CINE FORUM,GÊMEOS DO CINEMA E CULTURA LTDA,14.597.365/0001-50
24117,17.543.833/0001-00,FAZ CINEMA FILMES LTDA ME,EUMEMO COMUNICAÇÃO LTDA - ME,13.987.065/0001-14
12264,01.847.282/0001-20,AFA CINEMATOGRÁFICA LTDA ME,CINEMATOGRÁFICA DIVINÓPOLIS EIRELI,08.451.580/0001-45
51424,34.107.329/0001-78,GOLPE DE VISTA FILMES EIRELI,IMAGINA PRESTAÇÃO DE SERVIÇOS S/C LTDA-ME,05.032.937/0001-62
14568,10.198.277/0001-24,THOMAS LARSON - ME,LALA PRODUÇÕES ARTÍSTICAS LTDA - ME,18.883.360/0001-44
46535,36.825.458/0001-27,SETUP PRODUCOES AUDIOVISUAIS LTDA,SETUP FILMES LTDA - ME,18.280.888/0001-29
32715,16.942.343/0001-05,ASSOCIACAO PRO-ESPORTE E CULTURAL LTDA,BARRACELL PRODUCOES ARTISTICAS LTDA,02.890.928/0001-14
51534,35.032.306/0001-04,U4HERO DESENVOLVIMENTO DE SOFTWARE LTDA,GARD ENTRETENIMENTO LTDA,43.187.340/0001-86
